@relation 'NBA players perfomance'

@attribute 'Player name'{PJ-Tucker,Patty-Mills,Kemba-Walker,Tobias-Harris,Reggie-Jackson,Cory-Joseph,Justin-Holiday,Bradley-Beal,Mason-Plumlee,Kentavious-Caldwell-Pope,Joe-Ingles,Montrezl-Harrell,Buddy-Hield,DeAndre-Bembry,Bryn-Forbes,Bam-Adebayo,Monte-Morris,Royce-ONeale,Collin-Sexton,Mikal-Bridges,Shai-Gilgeous-Alexander,LaMarcus-Aldridge,Thaddeus-Young,D.J.-Augustin,Brook-Lopez,Al-Farouq-Aminu,Ed-Davis,Evan-Fournier,Terrense-Ross,Rudy-Gobert,Dario-Saric,Jordan-Clarkson,Bojan-Bogdanovic,DAngelo-Russell,Willie-Cauley-Stein,Malik-Beasley,Dorian-Finney-Smith,Ryan-Arcidiacono,DeAaron-Fox,Justin-Jackson,Trae-Young,Danny-Green,Nikola-Vucevic,Jae-Crowder,Damian-Lillard,Steven-Adams,Marcus-Smart,Nikola-Jokic,Jerami-Grant,Langston-Galloway,Kevon-Looney,Pascal-Siakam,Tomas-Satoransky,Jarrett-Allen,Miles-Bridges,Marco-Belinelli,Marc-Gasol,Mike-Scott,Andre-Drummond,Jeremy-Lamb,Dennis-Schroder,Kelly-Olynyk,Terry-Rozier,Ben-Simmons,Jayson-Tatum,Josh-Jackson,Landry-Shamet,Kevin-Durant,James-Harden,Eric-Bledsoe,Klay-Thompson,Patrick-Beverley,Aaron-Gordon,Jeff-Green,DeMar-DeRozan,Paul-George,Khris-Middleton,Harrison-Barnes,Nerlens-Noel,Alex-Len,Doug-McDermott,Dwight-Powell,Karl-Anthony-Towns,Nemanja-Bjelica,Jakob-Poeltl,Donovan-Mitchell,Zach-Collins,Vince-Carter,JJ-Redick,Darren-collison,Derrick-Favors,Austin-Rivers,Gorgui-Dieng,Joe-Harris,Cedi-Osman,T.J-McConnell,Davis-Bertans,Marvin-Williams,Lou-Williams,Nicolas-Batum}
@attribute 'Games played' numeric
@attribute 'Points per Game' numeric
@attribute 'Points' numeric
@attribute 'FG' numeric
@attribute 'ThreePFG'numeric
@attribute 'AssistsPerGame' numeric
@attribute 'ReboundingPerGame' numeric
@attribute 'StealsPerGame' numeric
@attribute 'BlocksPerGame' numeric


@data
PJ-Tucker,82,7.3,603,0.396,0.377,1.2,5.8,1.6,0.5,
Patty-Mills,82,9.9,811,0.425,0.394,3.0,2.2,0.6,0.1
Kemba-Walker,82,25.6,2102,0.434,0.356,5.9,4.4,1.2,0.4
Tobias-Harris,82,20,1644,0.487,0.397,2.8,7.9,0.6,0.5
Reggie-Jackson,82,15.4,1260,0.421,0.369,4.2,2.6,0.7,0.1
Cory-Joseph,82,6.5,537,0.412,0.322,3.9,3.4,1.1,0.3
Justin-Holiday,82,10.5,857,0.386,0.348,1.8,3.9,1.5,0.4
Bradley-Beal,82,25.6,2099,0.475,0.351,5.5,5,1.5,0.7
Mason-Plumlee,82,7.8,637,0.593,0.200,3.0,6.4,0.8,0.9
Kentavious-Caldwell-Pope,82,11.4,938,0.430,0.347,1.3,2.9,0.9,0.2
Joe-Ingles,82,12.1,994,0.448,0.391,5.7,4,1.2,0.2
Montrezl-Harrell,82,16.6,1361,0.615,0.176,2.0,6.5,0.9,1.3
Buddy-Hield,82,20.7,1695,0.458,0.427,2.5,5,0.7,0.4
DeAndre-Bembry,82,8.4,687,0.446,0.289,2.5,4.4,1.3,0.5
Bryn-Forbes,82,11.8,967,0.456,0.426,2.1,2.9,0.5,0
Bam-Adebayo,82,8.9,729,0.576,0.200,2.2,7.3,0.9,0.8
Monte-Morris,82,10.4,851,0.493,0.414,3.6,2.4,0.9,0
Royce-ONeale,82,5.2,426,0.475,0.386,1.5,3.5,0.7,0.3
Collin-Sexton,82,16.7,1371,0.430,0.402,3.0,2.9,0.5,0.1
Mikal-Bridges,82,8.3,684,0.430,0.335,2.1,3.2,1.6,0.5
Shai-Gilgeous-Alexander,82,10.8,889,0.476,0.367,3.3,2,8,1.2,0.5
LaMarcus-Aldridge,81,21.3,1727,0.519,0.238,2.4,9.2,0.5,1.3
Thaddeus-Young,81,12.6,1024,0.527,0.349,2.5,6.5,1.5,0.4
D.J.-Augustin,81,11.7,948,0.470,0.421,5.3,2.5,0.6,0
Brook-Lopez,81,12.5,1009,0.452,0.365,1.2,4.9,0.6,2.2
Al-Farouq-Aminu,81,9.4,760,0.433,0.343,1.3,7.5,0.8,0.4
Ed-Davis,81,5.8,472,0.616,0.00,0.8,8.6,0.4,0.4
Evan-Fournier,81,15.1,1226,0.438,0.340,3.6,3.2,0.9,0.1
Terrense-Ross,81,15.1,1223,0.428,0.383,1.7,3.5,0.9,0.4
Rudy-Gobert,81,15.9,1284,0.669,-1,2.0,12.9,0.8,2.3
Dario-Saric,81,10.6,858,0.437,0.365,1.6,5.6,0.6,0.1
Jordan-Clarkson,81,16.8,1364,0.448,0.324,2.4,3.3,0.7,0.2
Bojan-Bogdanovic,81,18.0,1454,0.497,0.425,2,4.1,0.9,0
DAngelo-Russell,81,21.1,1712,0.434,0.369,7,3.9,1.2,0.2
Willie-Cauley-Stein,81,11.9,965,0.556,0.500,2.4,8.4,1.2,0.6
Malik-Beasley,81,11.3,917,0.474,0.402,1.2,2.5,0.7,0.1
Dorian-Finney-Smith,81,7.5,608,0.432,0.311,1.2,4.8,0.9,0.4
Ryan-Arcidiacono,81,6.7,544,0.447,0.373,3.3,2.7,0.8,0
DeAaron-Fox,81,17.3,1399,0.458,0.371,7.3,3.8,1.6,0.6     
Justin-Jackson,81,7.2,583,0.447,0,355,1.2,2.6,0.4,0.2   
Trae-Young,81,19.1,1549,0.418,0.324,8.1,3.7,0.9,0.2       
Danny-Green,80,10.3,821,0.465,0.455,1.6,4.0,0.9,0.7  
Nikola-Vucevic,80,20.8,1665,,0.518,0.364,3.8,12,1,1.1 
Jae-Crowder,80,11.9,951,0.399,0.331,1.7,4.8,0.8,0.4      
Damian-Lillard,80,25.8,2067,0.444,0.369,6.9,4.6,1.1,0.4  
